epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.39,1.82515,3.96803,1.50744,0.00327,0.9697,0.70687,0.34797,1.29013,4.16705,1.08972,0.00024,0.00024,0.00024
2,255.19,1.55965,2.64645,1.1913,0.0031,0.91919,0.00563,0.00325,1.39515,4.43337,1.24799,0.0004835,0.0004835,0.0004835
3,380.488,1.5916,2.44984,1.24265,0.00327,0.9697,0.2706,0.10645,1.28322,4.07345,1.16886,0.00070984,0.00070984,0.00070984
4,513.158,1.62378,2.35955,1.3345,0.00327,0.9697,0.14539,0.0745,1.38431,3.87486,1.25582,0.00091902,0.00091902,0.00091902
5,635.062,1.51136,2.2211,1.24877,0.0038,0.89899,0.22144,0.10372,1.39607,3.72829,1.21033,0.00111104,0.00111104,0.00111104
6,749.211,1.46949,2.14403,1.25942,0.78891,0.60403,0.69862,0.35273,1.66688,3.20847,1.28334,0.0012859,0.0012859,0.0012859
7,879.174,1.59168,2.12129,1.29036,0.77682,0.64646,0.74554,0.4133,1.7356,3.04699,1.43428,0.0014436,0.0014436,0.0014436
8,993.825,1.49805,1.90127,1.21935,0.78732,0.68687,0.74516,0.4323,1.54266,2.39304,1.37842,0.001538,0.001538,0.001538
9,1177.05,1.46985,1.813,1.24001,0.8136,0.75758,0.77582,0.4751,1.39672,2.06486,1.25077,0.001472,0.001472,0.001472
10,1293.17,1.41979,1.84943,1.21643,0.83895,0.73666,0.8257,0.38113,1.62659,2.04999,1.23684,0.001406,0.001406,0.001406
11,1417.72,1.44101,1.71952,1.20597,0.79657,0.75153,0.80664,0.48157,1.32915,1.92453,1.24195,0.00134,0.00134,0.00134
12,1546.56,1.43295,1.65506,1.24208,0.84293,0.82828,0.83695,0.45872,1.60431,1.81464,1.32498,0.001274,0.001274,0.001274
13,1674.14,1.40446,1.4785,1.17788,0.73027,0.71107,0.76175,0.44028,1.56736,1.95271,1.28792,0.001208,0.001208,0.001208
14,1786.47,1.45041,1.63215,1.2642,0.52021,0.61333,0.59656,0.24182,1.94738,2.64995,1.50064,0.001142,0.001142,0.001142
15,1897,1.4519,1.5383,1.22063,0.88141,0.83838,0.88569,0.56793,1.18654,1.6504,1.17296,0.001076,0.001076,0.001076
16,2021.74,1.35363,1.33959,1.14954,0.8264,0.80808,0.8703,0.53269,1.26926,1.46399,1.20511,0.00101,0.00101,0.00101
17,2145.95,1.42074,1.40617,1.19295,0.95517,0.86092,0.9177,0.55768,1.32344,1.30466,1.09804,0.000944,0.000944,0.000944
18,2288.98,1.45466,1.40058,1.14923,0.86568,0.82828,0.88712,0.59569,1.04751,1.21213,1.10808,0.000878,0.000878,0.000878
19,2421.94,1.32148,1.43143,1.17646,0.95047,0.86869,0.92515,0.6617,0.98249,1.14771,1.04486,0.000812,0.000812,0.000812
20,2552.49,1.26197,1.33863,1.1493,0.91583,0.87926,0.92695,0.61232,1.12395,1.21149,1.06713,0.000746,0.000746,0.000746
21,2685.01,1.18267,1.34301,1.1545,0.91995,0.87879,0.92499,0.64209,1.0284,1.22826,1.05343,0.00068,0.00068,0.00068
22,2825.09,1.19231,1.26857,1.10802,0.87296,0.87879,0.90899,0.6437,1.02347,1.06925,1.06837,0.000614,0.000614,0.000614
23,3001.32,1.15411,1.24007,1.12955,0.87559,0.86869,0.90862,0.64775,1.04039,0.98847,1.05439,0.000548,0.000548,0.000548
24,3139.65,1.17294,1.1507,1.12619,0.93139,0.85859,0.92262,0.68999,0.89061,0.97127,0.98995,0.000482,0.000482,0.000482
25,3267.96,1.13838,1.11994,1.11977,0.94512,0.86869,0.92524,0.67725,0.99154,0.9547,0.99751,0.000416,0.000416,0.000416
26,3410.44,1.12779,1.11747,1.11791,0.94542,0.8748,0.92925,0.6934,0.87638,0.94376,0.98173,0.00035,0.00035,0.00035
27,3557.05,1.07505,1.08855,1.05601,0.96618,0.86575,0.93312,0.71242,0.82753,0.93611,0.97369,0.000284,0.000284,0.000284
28,3693.04,1.09354,1.05044,1.09005,0.95472,0.87879,0.935,0.71727,0.80065,0.91425,0.96727,0.000218,0.000218,0.000218
29,3836.54,0.97107,1.01486,1.0488,0.94414,0.88889,0.93473,0.70996,0.82385,0.91859,0.97127,0.000152,0.000152,0.000152
30,3995.84,1.00308,1.0719,1.05858,0.93316,0.89899,0.93373,0.70053,0.89297,0.92831,0.97218,8.6e-05,8.6e-05,8.6e-05
